,snr,res,dm,mSigma,da,aSigma
0,19.74799287992563,0.40919122689689924,-0.021682268643661018,0.016489425694407468,-0.016483215226438468,0.006499237238785453
1,19.179740620934744,0.48427235642433325,-0.036304359588021196,0.013570047990411121,0.015544428788928935,0.0052557274767377074
2,18.93483900744101,0.5359401463833074,-0.016183931005970792,0.012745160422738377,0.019806306280454256,0.0048590485932432665
3,18.79508727422273,0.5796575244970187,-0.004979174067930858,0.011391606805715361,0.015310227788275916,0.0042823231461252
4,18.70727782587669,0.6201131514738777,0.010938404634444232,0.010692637215677713,0.01805085258877253,0.0039686610178238145
5,18.688677749120266,0.6608014451961861,0.07250924030489353,0.0099247640690686,0.013448004733407836,0.003617153461124478
6,18.775290171887153,0.7052851198882345,0.06552071116163588,0.009259178796589622,0.00438430957317551,0.003280550582445292
7,19.09901428034487,0.7689107709465843,0.02205393926341931,0.010480097185998209,-0.0047454831827771285,0.00351383730434165
8,24.711387535618694,0.3697417723906968,-0.04282683096215689,0.01342543271710719,-0.0027935325684916162,0.005229421221743819
9,24.403955534409423,0.4411508289793547,-0.0017449788350551165,0.01169068624309521,0.024739155470270585,0.004521694970297984
10,24.22928392245962,0.49967342049864094,-0.018640287608454986,0.010264361952238475,0.022991435390967777,0.0039247092936805575
11,24.125993239350624,0.5530443446671176,0.003838887051295231,0.009296439879879338,0.020967026919955393,0.0035449132432415803
12,24.069676202237382,0.6042900497911868,-0.0011305380270046628,0.008282758721218302,0.018189406883964667,0.0031419788414987684
13,24.049247666873445,0.6565794510280408,0.01020273538599012,0.007813021391698224,0.02175303915685893,0.0029249434087051133
14,24.074160951343686,0.712866282275268,0.022151175161747916,0.007149036888474298,0.008094008337812382,0.002645073046764848
15,24.13394353682356,0.7865786943731182,-0.018255281768687792,0.008210938905726101,-0.0023435537710150695,0.0029160643191188606
16,30.53788496802923,0.3507093666205207,-0.013208342913232293,0.012240106869803976,0.002385376816494658,0.004720653800756619
17,30.393738421082066,0.4173674257038642,-0.01691949813083783,0.010420466031845573,0.007339566018702236,0.0040041205053635755
18,30.3386813346595,0.47793986362809854,-0.007539534720026789,0.00895944288312327,0.022078251732548522,0.003404137131984884
19,30.27483404649126,0.5360832633308278,0.003091440474351309,0.00785591453639639,0.01547173562051346,0.002978495740230955
20,30.268817961279737,0.5948457029616293,0.012667557228147858,0.006967870461544058,0.01639970974841414,0.002640948772694657
21,30.287445106152962,0.6550988097802014,0.01540651990811795,0.006324338831032521,0.011599433397948644,0.0023740265389441038
22,30.340714722952647,0.7193078679268601,0.012924825810822188,0.00615276445880163,0.010143141717616246,0.002276282385060375
23,30.3005218171214,0.8008573377043721,-0.01711962594856034,0.0069561966587220955,0.0032432610107613266,0.0024817556956511517
24,38.67124247624808,0.3434176740265191,0.027684373277193988,0.010394630566293691,-0.018138275568821437,0.003991778339323742
25,38.57970766159363,0.41090730699078215,-0.005328228859300732,0.008670802156602183,0.0010176165081684854,0.0033092682968898263
26,38.52277242595073,0.47466697643268324,-0.004339327359608139,0.007400538599945142,0.006477963289843163,0.0028217862123530693
27,38.53796908708414,0.5369963364052828,-0.007982189973347265,0.006411247968632946,0.011040784500883274,0.002438977215548489
28,38.571655372136675,0.6004386691516836,0.01588498528535695,0.005498294794607764,0.007977047730361602,0.0020823812684576935
29,38.596571782835994,0.6644513361743273,0.006157939950739544,0.0050511858889314,0.004965360186523276,0.001907536545275832
30,38.610408549668044,0.7307986757748819,0.002531406228440891,0.004925951080795108,0.0033449274033038913,0.0018309093301234057
31,38.624335470798016,0.8153005391423398,-0.009195233918645712,0.0055389758339031885,-0.0008118995568881168,0.0019708079127998333
